,model,num_rna_chains,num_prot_chains,tm,oligo_gdtts,bb_lddt,ics,ips,ilddt,rmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
517,CASP16.M1224TS028_1,2,1,0.889,0.497,0.632,0.419,0.699,0.302,4.455,0.75425,0.55413,0.49551,0.22299,0.17273,0.32556,0.4208616666666667,0.24042666666666668,0.6012966666666667,0.053810991842328806,1322.82,5503665.41,9545998.2,-6.68739498150185,423.53,161.737
518,CASP16.M1224TS028_2,2,1,0.833,0.43,0.649,0.464,0.694,0.347,6.078,0.75083,0.56049,0.50118,0.25299,0.19578,0.35435,0.43593666666666664,0.2677066666666667,0.6041666666666666,0.051611029617197345,1340.21,5481599.15,9881917.02,-2.157800345723769,215.269,199.073
519,CASP16.M1224TS028_3,2,1,0.887,0.504,0.65,0.503,0.653,0.335,4.72,0.75441,0.56271,0.50375,0.24565,0.19086,0.34994,0.43455333333333335,0.26215,0.6069566666666667,0.04916249080993111,1179.56,5052967.21,9417914.1,-4.646500648086948,366.68,180.289
520,CASP16.M1224TS028_4,2,1,0.705,0.382,0.612,0.17,0.388,0.164,30.546,0.7739,0.58104,0.51818,0.28902,0.2649,0.36702,0.4656766666666667,0.30698000000000003,0.6243733333333333,0.0360390573828373,954.145,2700739.0,4375840.49,-3.423809592727855,190.91,78.8142
521,CASP16.M1224TS028_5,2,1,0.865,0.486,0.641,0.519,0.733,0.32,5.351,0.75895,0.56736,0.50744,0.2462,0.18489,0.3455,0.43505666666666665,0.2588633333333333,0.61125,0.05402643583820464,1236.74,5405370.29,9934076.93,-2.352282470252971,357.37,172.439
522,CASP16.M1224TS033_1,2,1,0.872,0.465,0.643,0.403,0.676,0.321,5.019,0.75497,0.55858,0.50368,0.2288,0.17154,0.33618,0.425625,0.24550666666666665,0.6057433333333333,0.03766208352808462,1187.92,5149628.41,8892733.94,-3.1920591859953893,321.902,151.625
523,CASP16.M1224TS033_2,2,1,0.878,0.488,0.643,0.416,0.63,0.335,4.805,0.75938,0.56448,0.50372,0.24739,0.19906,0.34121,0.43587333333333333,0.26255333333333336,0.6091933333333334,0.04480814987919075,1134.79,4612247.76,7693277.21,-6.666721000270413,213.365,130.312
524,CASP16.M1224TS033_3,2,1,0.871,0.466,0.627,0.323,0.583,0.252,5.016,0.75242,0.563,0.50274,0.26749,0.2257,0.35716,0.44475166666666666,0.28345,0.6060533333333333,0.041479425993111364,1281.38,3926083.54,6549785.08,-2.2006400133048274,221.517,116.379
525,CASP16.M1224TS033_4,2,1,0.887,0.492,0.628,0.382,0.688,0.319,4.537,0.75318,0.56077,0.50416,0.2453,0.1868,0.34779,0.433,0.2599633333333333,0.6060366666666667,0.0451551691593977,1312.69,4625604.22,8504749.38,-6.053292088637695,242.149,137.783
526,CASP16.M1224TS033_5,2,1,0.836,0.424,0.633,0.404,0.705,0.261,5.982,0.74778,0.56322,0.50118,0.23896,0.18509,0.33306,0.42821499999999996,0.25237,0.6040599999999999,0.05279208093652415,1526.76,6068581.29,10425391.05,-5.457157936916131,345.734,202.078
