,model,num_rna_chains,num_prot_chains,tm,oligo_gdtts,bb_lddt,ics,ips,ilddt,rmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
624,CASP16.M1271TS028_1,1,16,0.471,0.285,0.574,0.311,0.656,0.28,56.574,0.7336,0.47825,0.30202,0.26673,0.26412,0.4565,0.41686999999999996,0.32911666666666667,0.5046233333333333,0.01660905702288773,31050.0,10287113.25,17512649.43,-1.5011858946691414,552.398,343.23816000000005
625,CASP16.M1271TS028_2,1,16,0.474,0.272,0.57,0.308,0.641,0.274,57.058,0.7328,0.47068,0.29916,0.25383,0.2562,0.44585,0.4097533333333333,0.31862666666666667,0.50088,0.008895001319818671,30315.5,8405063.4,14474145.11,-2.7274474386157794,476.005,302.18177
626,CASP16.M1271TS028_3,1,16,0.48,0.282,0.576,0.325,0.648,0.284,53.896,0.73107,0.47193,0.29925,0.25448,0.25749,0.44923,0.410575,0.3204,0.50075,0.013925128650238209,30803.9,12063379.18,21434936.84,-2.5246537463856713,585.034,465.56041999999997
627,CASP16.M1271TS028_4,1,16,0.496,0.29,0.576,0.305,0.66,0.275,59.626,0.73348,0.48076,0.30519,0.27636,0.28825,0.46455,0.42476500000000006,0.3430533333333334,0.5064766666666667,0.010772207547032757,31318.7,7093951.25,12366513.53,-1.7942822288375486,536.59,264.59193999999997
628,CASP16.M1271TS028_5,1,16,0.498,0.288,0.573,0.301,0.644,0.274,58.094,0.73387,0.48092,0.30575,0.27666,0.2907,0.46625,0.4256916666666667,0.34453666666666666,0.5068466666666667,0.009179183259876503,33002.6,8323155.45,14759132.95,-4.170901068134097,466.404,285.3847
629,CASP16.M1271TS091_1,1,16,0.427,0.294,0.57,0.263,0.581,0.226,77.547,0.95324,0.92437,0.89783,0.46739,0.5755,0.59947,0.7363,0.5474533333333333,0.9251466666666667,0.0009576573747000251,31050.9,9770784.74,16241746.16,-1.0255311316343805,832.719,303.93818999999996
630,CASP16.M1271TS091_2,1,16,0.417,0.285,0.561,0.263,0.547,0.221,74.389,0.95164,0.92213,0.89203,0.47121,0.57106,0.6032,0.7352116666666667,0.54849,0.9219333333333334,0.0004519198925385396,34586.6,6924437.65,11118013.26,-3.3501634139223326,492.974,219.00560000000002
631,CASP16.M1271TS091_3,1,16,0.459,0.295,0.563,0.259,0.572,0.223,67.503,0.95114,0.9187,0.89024,0.45628,0.55888,0.58769,0.727155,0.5342833333333333,0.9200266666666667,0.0018043481214167812,35509.1,9957797.73,16451704.18,-0.8587453063778587,822.448,307.08261999999996
632,CASP16.M1271TS091_4,1,16,0.42,0.293,0.569,0.263,0.537,0.224,70.216,0.94933,0.91384,0.88209,0.48873,0.59702,0.61425,0.7408766666666666,0.5666666666666665,0.9150866666666667,0.0005716366006089147,30694.5,6852201.51,10950274.56,-3.4240821424160437,499.581,218.3616
633,CASP16.M1271TS091_5,1,16,0.443,0.311,0.571,0.266,0.551,0.23,74.134,0.95207,0.92154,0.89295,0.48833,0.59522,0.61467,0.74413,0.5660733333333333,0.9221866666666667,0.0004031092067686526,35605.5,7122796.97,11511584.86,-3.160404290927664,555.764,229.97005000000001
634,CASP16.M1271TS110_1,1,16,0.518,0.285,0.579,0.321,0.667,0.289,57.748,0.73393,0.47491,0.30013,0.2686,0.27623,0.45872,0.4187533333333333,0.33451666666666663,0.5029899999999999,0.005212530495083582,31289.2,6274499.65,10770394.7,-2.9626983236017423,561.842,225.32614
635,CASP16.M1271TS110_2,1,16,0.474,0.272,0.57,0.308,0.641,0.274,57.058,0.7328,0.47068,0.29916,0.25383,0.2562,0.44585,0.4097533333333333,0.31862666666666667,0.50088,0.008895001319818671,30315.5,8405063.4,14474145.11,-2.7274474386157794,560.034,302.18177
636,CASP16.M1271TS110_3,1,16,0.48,0.282,0.576,0.325,0.648,0.284,53.896,0.73107,0.47193,0.29925,0.25448,0.25749,0.44923,0.410575,0.3204,0.50075,0.013925128650238209,30803.9,12063379.18,21434936.84,-2.5246537463856713,507.677,465.56041999999997
637,CASP16.M1271TS110_4,1,16,0.484,0.272,0.572,0.312,0.679,0.281,55.149,0.73247,0.47184,0.29975,0.26237,0.26637,0.45223,0.41417166666666666,0.32699,0.5013533333333333,0.005755764861326589,31917.6,9545343.72,15901863.88,-3.732849518712571,474.181,315.1364
638,CASP16.M1271TS110_5,1,16,0.467,0.285,0.571,0.307,0.647,0.278,56.813,0.73334,0.48522,0.30965,0.28054,0.28906,0.46753,0.42755666666666664,0.34570999999999996,0.5094033333333333,0.008569056712125883,32644.7,9045762.36,15550364.52,-3.3054517190083206,457.68,312.4526
