,model,num_rna_chains,num_prot_chains,tm,oligo_gdtts,bb_lddt,ics,ips,ilddt,rmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
0,CASP16.M1209TS006_1,1,2,0.749,0.606,0.782,0.656,0.709,0.697,14.823,0.93247,0.82508,0.79302,0.50825,0.514,0.61404,0.69781,0.54543,0.85019,0.11669198408781084,1855.44,4133337.72,6538498.66,-2.8621473967605464,444.478,172.749
1,CASP16.M1209TS006_2,1,2,0.754,0.607,0.793,0.602,0.66,0.724,18.596,0.93197,0.81608,0.78339,0.49871,0.46917,0.58205,0.6802283333333332,0.5166433333333332,0.8438133333333333,0.10006124630890553,2133.72,6168643.56,9412242.78,-3.517586952702135,452.323,249.584
2,CASP16.M1209TS006_3,1,2,0.746,0.606,0.76,0.538,0.533,0.725,22.437,0.9293,0.82075,0.79241,0.45361,0.4307,0.52132,0.658015,0.46854333333333337,0.8474866666666666,0.08406615924322977,2056.54,6502735.35,10178980.6,-1.7395342130740408,340.039,306.944
3,CASP16.M1209TS006_4,1,2,0.75,0.606,0.781,0.61,0.683,0.708,15.442,0.93384,0.8182,0.78529,0.48836,0.46914,0.56858,0.677235,0.5086933333333333,0.8457766666666666,0.08497881021830835,2025.23,4518962.04,7272967.6,-7.122953327230578,325.768,192.875
4,CASP16.M1209TS006_5,1,2,0.748,0.606,0.779,0.618,0.663,0.695,16.932,0.93487,0.824,0.78918,0.51692,0.51596,0.61483,0.6992933333333333,0.5492366666666667,0.8493499999999999,0.18216337538324298,2006.2,4580318.64,7065905.49,-3.057842570502067,244.502,220.963
5,CASP16.M1209TS028_1,1,2,0.793,0.636,0.759,0.656,0.7,0.631,16.13,0.73738,0.52846,0.37802,0.2814,0.27328,0.44166,0.4400333333333334,0.3321133333333333,0.5479533333333334,0.06708344189900614,1226.1,1171868.9,1962053.93,-2.293934797573942,229.814,40.844
6,CASP16.M1209TS028_2,1,2,0.792,0.634,0.759,0.654,0.695,0.63,16.141,0.74007,0.53472,0.38436,0.28393,0.27883,0.44345,0.44422666666666666,0.33540333333333333,0.5530499999999999,0.06271136851563312,1220.91,1070036.48,1841375.04,-1.777090094404334,254.977,32.4395
7,CASP16.M1209TS028_3,1,2,0.79,0.632,0.761,0.669,0.711,0.63,16.103,0.7432,0.53616,0.38547,0.29036,0.28322,0.4469,0.4475516666666667,0.34016,0.5549433333333333,0.059879254103179846,1229.11,1038406.83,1806360.3,-1.985632903677083,251.495,27.7992
8,CASP16.M1209TS028_4,1,2,0.788,0.632,0.761,0.66,0.705,0.629,16.148,0.74587,0.53844,0.38766,0.29002,0.2853,0.45037,0.44960999999999995,0.3418966666666667,0.5573233333333333,0.05865244864730812,1238.56,1010747.34,1783248.82,-1.9751380972128323,237.046,27.8299
9,CASP16.M1209TS028_5,1,2,0.787,0.629,0.759,0.66,0.705,0.63,16.129,0.74652,0.54184,0.38713,0.29634,0.29628,0.45745,0.45426,0.35002333333333335,0.5584966666666666,0.055643161104489997,1226.56,1049876.29,1772721.67,-2.197268600602498,229.052,26.1921
10,CASP16.M1209TS033_1,1,2,0.677,0.567,0.823,0.691,0.741,0.727,16.126,0.9403,0.82553,0.79754,0.51039,0.54394,0.61797,0.705945,0.5574333333333333,0.8544566666666666,0.09803231590194628,1736.72,3271662.42,5094399.43,-1.4477501744388224,346.406,95.1342
11,CASP16.M1209TS033_2,1,2,0.841,0.733,0.836,0.676,0.725,0.736,15.036,0.93282,0.81866,0.78586,0.50653,0.52475,0.59499,0.693935,0.5420900000000001,0.84578,0.12094009941938566,1845.98,3954443.49,6169890.47,-1.8834872798136637,532.028,124.688
