,model,num_rna_chains,num_prot_chains,tm,oligo_gdtts,bb_lddt,ics,ips,ilddt,rmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
834,CASP16.M1293TS006_1,1,2,0.842,0.829,0.767,0.553,0.568,0.704,20.907,0.92381,0.79875,0.76794,0.45273,0.43422,0.53515,0.6521,0.47403333333333336,0.8301666666666666,0.04681802986306138,1835.58,4028124.27,6962013.76,-2.3107768565329962,196.803,210.429
835,CASP16.M1293TS006_2,1,2,0.84,0.829,0.759,0.503,0.454,0.712,30.448,0.92397,0.80238,0.7707,0.41953,0.3783,0.47822,0.62885,0.42534999999999995,0.83235,0.07144682124380779,1778.05,5598920.6,10459757.16,-3.5420896599364196,251.732,321.906
836,CASP16.M1293TS006_3,1,2,0.847,0.829,0.753,0.489,0.545,0.689,19.717,0.92773,0.80934,0.77741,0.46277,0.41496,0.54626,0.6564116666666667,0.47466333333333327,0.8381600000000001,0.10986660705530082,1954.5,6369031.8,11368830.5,-2.7666789379360477,414.927,305.572
837,CASP16.M1293TS006_4,1,2,0.851,0.832,0.77,0.578,0.579,0.706,22.621,0.92791,0.80072,0.76869,0.47133,0.46426,0.57646,0.6682283333333333,0.5040166666666667,0.83244,0.06967327794700395,1801.13,4102661.2,6510839.39,-5.315797733287702,116.207,157.339
838,CASP16.M1293TS006_5,1,2,0.841,0.829,0.758,0.529,0.604,0.673,20.336,0.92078,0.81013,0.77039,0.51105,0.49535,0.59664,0.6840566666666666,0.5343466666666666,0.8337666666666667,0.13987696333788335,1951.75,4989701.12,8585800.51,-2.1742240856226207,266.721,244.411
839,CASP16.M1293TS028_1,1,2,0.882,0.86,0.846,0.833,0.783,0.916,17.206,0.93301,0.82557,0.79607,0.53662,0.57934,0.64921,0.71997,0.58839,0.85155,0.10184314278885723,1878.97,4934011.52,6334964.69,-1.7817173383302753,567.567,144.551
840,CASP16.M1293TS028_2,1,2,0.883,0.853,0.838,0.836,0.81,0.894,16.862,0.93506,0.82839,0.79753,0.53434,0.5788,0.64219,0.7193849999999999,0.58511,0.85366,0.12226308425888419,1827.07,4456325.81,5796521.22,-0.814000503408008,538.908,140.794
841,CASP16.M1293TS028_3,1,2,0.88,0.853,0.848,0.839,0.805,0.913,16.845,0.93259,0.82671,0.79626,0.52694,0.57254,0.64022,0.7158766666666666,0.5799,0.8518533333333332,0.11519546639174223,1825.66,4650307.99,6009367.6,-1.3830645133267636,579.72,142.746
842,CASP16.M1293TS028_4,1,2,0.885,0.857,0.833,0.885,0.855,0.915,13.677,0.94113,0.83138,0.80316,0.52762,0.58558,0.63589,0.7207933333333334,0.58303,0.8585566666666667,0.14188371296040714,1679.46,3591594.03,4991262.71,-3.3264377688810045,474.522,125.29
843,CASP16.M1293TS028_5,1,2,0.903,0.809,0.841,0.879,0.861,0.918,6.325,0.9415,0.82339,0.79178,0.52886,0.60772,0.63666,0.7216516666666666,0.5910799999999999,0.8522233333333333,0.13351862804265693,1617.28,3152157.01,4183351.41,-1.0678507464094218,378.286,97.9534
