,model,num_rna_chains,num_prot_chains,tm,oligo_gdtts,bb_lddt,ics,ips,ilddt,rmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
252,CASP16.M1212TS028_1,1,1,0.779,0.633,0.635,0.382,0.563,0.274,18.418,0.81656,0.62785,0.57579,0.15663,0.09618,0.27293,0.42432333333333333,0.17524666666666666,0.6734,0.09886303818784653,1038.15,8730220.4,15370337.13,-0.0356852549068431,641.142,344.586
253,CASP16.M1212TS033_1,1,1,0.763,0.638,0.566,0.306,0.511,0.128,17.086,0.82118,0.62055,0.57259,0.15229,0.09282,0.25944,0.4198116666666667,0.16818333333333335,0.67144,0.08773324978537857,1162.62,9731355.71,15572869.92,-6.730356978744793e-07,712.282,350.319
254,CASP16.M1212TS033_2,1,1,0.733,0.63,0.57,0.379,0.554,0.155,12.185,0.81876,0.61511,0.56689,0.15746,0.1014,0.26877,0.4213983333333334,0.17587666666666668,0.6669200000000001,0.08334176065400242,1282.21,9723042.71,17822530.47,-0.010732292650523011,570.1,387.619
255,CASP16.M1212TS033_3,1,1,0.78,0.591,0.532,0.321,0.603,0.073,14.033,0.81682,0.60132,0.55382,0.14208,0.08924,0.25786,0.41019,0.16305999999999998,0.65732,0.0849289020523429,936.084,7480044.09,13283141.85,-0.0004748528480840928,527.798,256.143
256,CASP16.M1212TS033_4,1,1,0.78,0.623,0.55,0.401,0.595,0.102,15.052,0.8261,0.62523,0.58289,0.14769,0.09285,0.25981,0.4224283333333333,0.1667833333333333,0.6780733333333333,0.09719092301093042,1109.76,9629682.6,16750295.51,-0.12446748808996001,573.709,341.526
257,CASP16.M1212TS033_5,1,1,0.776,0.593,0.531,0.273,0.468,0.059,14.44,0.82648,0.6334,0.58247,0.17072,0.09821,0.27884,0.43168666666666666,0.18259,0.6807833333333333,0.093992979824543,1286.35,11225909.2,19661304.95,-0.061554732829501746,710.274,425.667
258,CASP16.M1212TS052_1,1,1,0.781,0.696,0.531,0.035,0.299,0.045,22.834,0.817,0.61735,0.56348,0.16896,0.11278,0.26782,0.42456499999999997,0.1831866666666667,0.6659433333333332,0.10197046315297484,1225.09,10273604.04,16985918.04,-0.017221896343096066,742.07,354.945
259,CASP16.M1212TS052_2,1,1,0.771,0.676,0.541,0.039,0.35,0.053,16.761,0.82023,0.6221,0.57044,0.13077,0.06912,0.23964,0.40871666666666673,0.14651,0.6709233333333334,0.08838959159329533,1219.04,9774508.28,16827665.04,-0.011939231906553294,733.843,350.651
260,CASP16.M1212TS052_3,1,1,0.747,0.643,0.544,0.031,0.346,0.039,18.362,0.81947,0.6337,0.5811,0.14242,0.08068,0.24895,0.41772000000000004,0.15735,0.6780900000000001,0.0915552587248385,1117.58,10769982.61,17473973.03,-0.026213243855718035,766.562,325.984
261,CASP16.M1212TS052_4,1,1,0.746,0.618,0.546,0.052,0.284,0.045,14.936,0.81894,0.62575,0.57765,0.16419,0.08974,0.27177,0.4246733333333333,0.17523333333333335,0.6741133333333332,0.09949497748166322,1323.33,10303213.65,18085682.64,-0.035754280881120856,654.002,375.005
262,CASP16.M1212TS052_5,1,1,0.78,0.696,0.531,0.035,0.299,0.045,25.897,0.81833,0.62261,0.5681,0.16667,0.1139,0.27504,0.42744166666666666,0.18520333333333336,0.6696799999999999,0.09652403024956584,1225.09,10273604.04,16985918.04,-0.017221896343096066,787.276,354.945
263,CASP16.M1212TS110_1,1,1,0.771,0.622,0.531,0.257,0.495,0.12,18.983,0.71574,0.50712,0.40912,0.13734,0.07347,0.2627,0.350915,0.15783666666666665,0.5439933333333333,0.09607036504894495,1507.83,12084558.98,20657709.88,-2.8268397387907795e-05,425.229,442.938
264,CASP16.M1212TS143_1,1,1,0.785,0.645,0.426,0.092,0.355,0.049,11.576,0.81986,0.63703,0.58469,0.1794,0.0814,0.28662,0.43150000000000005,0.18247333333333335,0.6805266666666667,0.10785795731935649,2952.91,20631396.18,43297816.97,-0.053457229737397305,1507.895,1073.5
265,CASP16.M1212TS143_2,1,1,0.773,0.65,0.352,0.021,0.264,0.007,10.481,0.80822,0.61642,0.55882,0.16141,0.07422,0.2721,0.41519833333333334,0.16924333333333333,0.6611533333333334,0.09034063483122735,2424.54,15979580.74,35485645.45,-1.2218280510421944,-3575.717,1023.01
266,CASP16.M1212TS143_3,1,1,0.789,0.661,0.395,0.087,0.355,0.036,11.542,0.81312,0.6239,0.56789,0.16319,0.07072,0.26854,0.4178933333333333,0.16748333333333335,0.6683033333333332,0.0954384472919628,3204.88,18870962.49,40415621.09,-4.403547937348528,-5719.165,1199.63
267,CASP16.M1212TS159_1,1,1,0.764,0.617,0.535,0.245,0.484,0.054,21.961,0.82759,0.63731,0.58529,0.16034,0.08602,0.26987,0.4277366666666667,0.17207666666666666,0.6833966666666668,0.10321824718266726,1481.23,12120974.54,21015647.65,-0.0874671845374041,769.082,474.321
268,CASP16.M1212TS159_2,1,1,0.745,0.588,0.57,0.313,0.511,0.106,14.295,0.82579,0.62659,0.57994,0.15112,0.09321,0.26052,0.42286166666666664,0.16828333333333334,0.6774399999999999,0.09436119184829295,1220.41,9354761.83,16749445.69,-0.0017825109113368738,741.438,368.137
269,CASP16.M1212TS159_3,1,1,0.769,0.586,0.539,0.242,0.519,0.112,15.21,0.8105,0.60699,0.55674,0.14574,0.09091,0.26534,0.4127033333333333,0.16733,0.6580766666666666,0.09484835164621472,1040.78,8184338.98,13931194.15,-3.1219599891877364e-05,630.717,304.893
270,CASP16.M1212TS159_4,1,1,0.717,0.587,0.55,0.293,0.461,0.065,17.36,0.83116,0.63484,0.58533,0.17848,0.11166,0.28645,0.4379866666666667,0.19219666666666665,0.6837766666666667,0.11228009192273021,1315.15,11761815.2,19687141.24,-0.010397991446162953,786.973,429.509
271,CASP16.M1212TS159_5,1,1,0.779,0.617,0.535,0.232,0.463,0.06,17.402,0.82243,0.62416,0.57987,0.14715,0.09177,0.26119,0.421095,0.16670333333333334,0.6754866666666667,0.09938153214752674,1047.83,8700162.72,14913382.21,-0.0011714689970540287,576.041,311.964
272,CASP16.M1212TS208_1,1,1,0.801,0.661,0.568,0.364,0.502,0.098,14.252,0.83127,0.62885,0.57908,0.1667,0.095,0.28095,0.43030833333333335,0.1808833333333333,0.6797333333333334,0.09939022366888821,1548.99,12602171.51,21717225.03,-1.4496166453284472e-06,896.148,466.545
273,CASP16.M1212TS208_2,1,1,0.772,0.599,0.554,0.315,0.553,0.085,16.416,0.81657,0.62158,0.56994,0.16306,0.09018,0.27403,0.42256000000000005,0.17575666666666667,0.6693633333333334,0.09622698032762855,1403.81,11159645.97,18856012.47,-2.5885976036378435e-07,681.245,389.448
274,CASP16.M1212TS208_3,1,1,0.792,0.689,0.593,0.53,0.544,0.177,15.068,0.81782,0.61843,0.57228,0.1598,0.10785,0.27695,0.42552166666666663,0.18153333333333332,0.6695099999999999,0.09734668526798487,1144.46,9345261.74,15808620.78,-0.001084188118224277,786.642,328.566
275,CASP16.M1212TS208_4,1,1,0.819,0.674,0.579,0.49,0.509,0.156,13.674,0.82188,0.62662,0.57622,0.16538,0.09467,0.26793,0.42545000000000005,0.17599333333333333,0.6749066666666668,0.101271531265229,1330.87,11102657.37,19665325.27,-0.32800275209775315,691.286,406.738
276,CASP16.M1212TS208_5,1,1,0.791,0.655,0.561,0.478,0.557,0.104,17.063,0.82588,0.63496,0.5842,0.1636,0.09769,0.27392,0.4300416666666667,0.17840333333333333,0.6816800000000001,0.10203760610893368,1413.6,12009638.17,20141142.1,-0.008251993402609471,789.732,411.609
277,CASP16.M1212TS231_1,1,1,0.802,0.635,0.583,0.329,0.577,0.139,14.52,0.81552,0.60615,0.55797,0.13896,0.08723,0.258,0.41063833333333327,0.16139666666666666,0.6598799999999999,0.08727860394865274,1027.38,8161959.44,13853706.23,-8.664897935503851e-05,580.624,295.702
278,CASP16.M1212TS231_2,1,1,0.787,0.607,0.552,0.269,0.53,0.067,14.122,0.81717,0.61138,0.56349,0.13816,0.08742,0.24894,0.4110933333333333,0.15817333333333333,0.6640133333333333,0.09073834484443069,872.067,6721447.79,11774736.95,-0.023710231285706353,486.604,255.53
279,CASP16.M1212TS231_3,1,1,0.794,0.615,0.576,0.302,0.56,0.118,14.27,0.81849,0.60309,0.55589,0.13865,0.08817,0.25688,0.41019500000000003,0.1612333333333333,0.6591566666666667,0.08732165964320301,945.51,7805285.86,13457844.47,-2.1226545897111726e-06,483.659,282.472
280,CASP16.M1212TS231_4,1,1,0.799,0.644,0.573,0.338,0.578,0.116,14.313,0.8198,0.60879,0.56379,0.13451,0.08348,0.24748,0.4096416666666667,0.1551566666666667,0.6641266666666666,0.07978036003187298,970.911,7719118.3,13351688.43,-6.601423616032028e-05,651.057,287.417
