,model,num_rna_chains,num_prot_chains,tm,oligo_gdtts,bb_lddt,ics,ips,ilddt,rmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
340,CASP16.M1216TS028_1,4,8,0.489,0.216,0.718,0.637,0.664,0.502,35.494,0.96455,0.93902,0.92621,0.4581,0.5279,0.56931,0.7308483333333333,0.5184366666666667,0.94326,0.03518346236711522,11030.5,17774036.57,29454165.54,-3.291017495831169,669.491,543.5096
341,CASP16.M1216TS028_2,4,8,0.494,0.214,0.726,0.652,0.655,0.52,35.729,0.96356,0.93734,0.92354,0.44629,0.51414,0.55716,0.7236716666666667,0.5058633333333333,0.94148,0.03745675629236324,10548.5,18864121.65,31845961.51,-3.9418924328619234,895.037,583.4043
342,CASP16.M1216TS028_3,4,8,0.493,0.213,0.71,0.621,0.655,0.473,35.763,0.96447,0.93962,0.92708,0.454,0.52561,0.56421,0.7291650000000001,0.5146066666666667,0.9437233333333334,0.03974900807951991,10860.5,19219753.81,33877609.83,-5.294938750112741,-111.466,674.7787000000001
343,CASP16.M1216TS028_4,4,8,0.481,0.211,0.722,0.634,0.67,0.498,35.805,0.96324,0.93805,0.92481,0.44274,0.51394,0.55575,0.7230883333333333,0.5041433333333334,0.9420333333333333,0.02430365654682924,10518.5,16941095.66,29452122.3,-3.462114000904491,847.894,538.3589999999999
344,CASP16.M1216TS028_5,4,8,0.493,0.212,0.734,0.648,0.669,0.521,35.788,0.9642,0.9371,0.92337,0.44838,0.5149,0.55713,0.72418,0.5068033333333334,0.9415566666666667,0.03744352512310668,10267.2,18471995.89,31454285.54,-3.4970643102833776,827.434,580.4928
345,CASP16.M1216TS033_1,4,8,0.289,0.163,0.615,0.404,0.528,0.369,42.707,0.9598,0.92123,0.89601,0.43022,0.46223,0.57645,0.7076566666666666,0.48963333333333336,0.92568,0.06891265876646742,12659.6,18643070.63,32918938.13,-6.313119599158095,-1138.313,849.9083999999999
346,CASP16.M1216TS110_1,4,8,0.494,0.214,0.726,0.652,0.655,0.52,35.729,0.96356,0.93734,0.92354,0.44629,0.51414,0.55716,0.7236716666666667,0.5058633333333333,0.94148,0.03745675629236324,10548.5,18864121.65,31845961.51,-3.9418924328619234,894.888,583.4043
347,CASP16.M1216TS110_2,4,8,0.386,0.169,0.703,0.598,0.611,0.446,37.498,0.96269,0.93589,0.92138,0.45042,0.51794,0.56227,0.7250983333333334,0.51021,0.9399866666666666,0.03883225094592678,11563.0,20417462.53,35579668.27,-4.689101381379837,-314.536,678.2461999999999
348,CASP16.M1216TS110_3,4,8,0.331,0.17,0.708,0.593,0.595,0.426,49.931,0.96033,0.9261,0.90991,0.4225,0.49842,0.54232,0.70993,0.4877466666666666,0.9321133333333332,0.030545596948041247,9660.25,16773957.79,27548926.72,-4.255709404087365,823.859,541.6003999999999
349,CASP16.M1216TS110_4,4,8,0.481,0.211,0.722,0.634,0.67,0.498,35.805,0.96324,0.93805,0.92481,0.44274,0.51394,0.55575,0.7230883333333333,0.5041433333333334,0.9420333333333333,0.02430365654682924,10518.5,16941095.66,29452122.3,-3.462114000904491,864.709,538.3589999999999
350,CASP16.M1216TS110_5,4,8,0.415,0.212,0.742,0.646,0.642,0.484,34.862,0.96095,0.93389,0.92028,0.40951,0.49508,0.53183,0.7085899999999999,0.47880666666666666,0.9383733333333333,0.03351694835694449,9684.03,16357667.38,28173107.05,-4.251066104710199,644.089,580.3462000000001
351,CASP16.M1216TS143_1,4,8,0.29,0.167,0.684,0.504,0.555,0.382,44.087,0.95994,0.92529,0.90522,0.45703,0.50884,0.58173,0.7230083333333333,0.5158666666666667,0.9301499999999999,0.0521223988648849,11362.2,17441650.96,32060196.04,-4.715829668413884,961.326,765.6492000000001
352,CASP16.M1216TS143_2,4,8,0.334,0.167,0.681,0.458,0.524,0.379,38.954,0.9607,0.92875,0.91054,0.4387,0.47804,0.5475,0.710705,0.4880799999999999,0.9333300000000001,0.030859659678631753,11773.0,17901270.41,32620164.72,-5.278448343049891,1208.946,766.6446
353,CASP16.M1216TS159_1,4,8,0.314,0.178,0.716,0.612,0.62,0.474,50.706,0.96192,0.93204,0.91568,0.45236,0.51929,0.55984,0.7235216666666666,0.5104966666666667,0.9365466666666666,0.027363386757161514,10869.4,18440802.19,30754117.26,-4.095167085751809,824.91,592.8673
354,CASP16.M1216TS159_2,4,8,0.289,0.163,0.615,0.404,0.528,0.369,42.707,0.9598,0.92123,0.89601,0.43022,0.46223,0.57645,0.7076566666666666,0.48963333333333336,0.92568,0.06891265876646742,12659.6,18643070.63,32918938.13,-6.313119599158096,-1212.303,849.9083999999999
355,CASP16.M1216TS167_1,4,8,0.227,0.071,0.407,0.117,0.443,0.02,56.12,0.74649,0.41636,0.26162,0.16841,0.14395,0.3422,0.346505,0.21818666666666667,0.4748233333333333,0.06951592964674233,9557.78,24345699.7,55505353.88,-0.5757817417339913,-7554.744,1710.558
356,CASP16.M1216TS167_3,4,8,0.237,0.077,0.402,0.222,0.436,0.035,56.23,0.74103,0.41732,0.26148,0.19731,0.16915,0.36799,0.3590466666666666,0.24481666666666665,0.4732766666666666,0.0948112058073093,9942.21,31946110.83,70512128.13,-0.25587902428599646,-7408.793,1990.2470000000003
357,CASP16.M1216TS167_4,4,8,0.284,0.087,0.407,0.179,0.513,0.054,47.361,0.74663,0.42935,0.26946,0.18868,0.14965,0.36796,0.35862166666666667,0.23543,0.48181333333333337,0.04311404210347815,12790.5,21367920.77,45052162.23,-3.215358593411868,-4664.671,1203.858
358,CASP16.M1216TS167_5,4,8,0.236,0.073,0.44,0.094,0.372,0.041,56.388,0.75243,0.46028,0.29258,0.19425,0.17347,0.37705,0.37501,0.24825666666666668,0.5017633333333333,0.001059896479452435,8159.43,7469032.9,13266858.35,-3.4315210077322353,-1041.229,225.2854
359,CASP16.M1216TS208_1,4,8,0.488,0.208,0.724,0.626,0.664,0.499,36.011,0.96629,0.93971,0.92654,0.45117,0.52056,0.56206,0.7277216666666667,0.5112633333333333,0.9441800000000001,0.041215801463221555,10043.9,19059202.06,31596937.41,-3.2269215241553297,1095.225,582.1297000000001
360,CASP16.M1216TS208_2,4,8,0.48,0.212,0.731,0.655,0.671,0.524,36.083,0.96611,0.93914,0.926,0.44815,0.51574,0.55945,0.725765,0.50778,0.9437500000000001,0.040362542029114046,10241.2,18097772.8,30993680.33,-3.951831615273003,739.648,574.0205
361,CASP16.M1216TS208_3,4,8,0.481,0.211,0.73,0.646,0.66,0.519,35.883,0.96417,0.93798,0.92396,0.44675,0.51727,0.55791,0.7246733333333333,0.50731,0.9420366666666666,0.042458965020448707,10366.4,18946375.06,31649335.28,-3.0782281494622703,774.344,604.1958999999999
362,CASP16.M1216TS208_4,4,8,0.475,0.21,0.716,0.637,0.64,0.496,36.151,0.96579,0.93989,0.92634,0.4574,0.52825,0.56875,0.73107,0.5181333333333333,0.9440066666666667,0.04385281751988919,10592.4,19120662.51,33712920.41,-4.250414959865344,-592.183,738.0985000000001
363,CASP16.M1216TS208_5,4,8,0.488,0.209,0.709,0.629,0.648,0.484,35.877,0.9643,0.93876,0.92547,0.4499,0.52267,0.56166,0.7271266666666667,0.51141,0.9428433333333333,0.03348582924298056,10443.9,17564178.22,30502695.87,-3.7856905993478973,790.105,557.8314
364,CASP16.M1216TS231_1,4,8,0.482,0.211,0.734,0.631,0.668,0.511,35.925,0.96429,0.93894,0.92601,0.44593,0.5155,0.55524,0.7243183333333333,0.5055566666666665,0.94308,0.03707883445739965,10497.8,18980032.94,31059357.77,-3.448449142264631,1080.089,729.03772
365,CASP16.M1216TS231_2,4,8,0.475,0.209,0.719,0.635,0.659,0.5,35.837,0.96459,0.93928,0.92621,0.45298,0.52581,0.56164,0.7284183333333333,0.5134766666666667,0.9433599999999999,0.03401192826675468,10582.3,18407749.04,31023763.1,-4.486850128760071,864.753,685.952
366,CASP16.M1216TS231_3,4,8,0.486,0.211,0.72,0.639,0.659,0.502,35.636,0.96586,0.93999,0.92757,0.45213,0.52822,0.5635,0.729545,0.5146166666666666,0.9444733333333334,0.037501489058076466,10465.7,17157268.04,29569557.9,-3.5482667080039674,809.78,679.87725
367,CASP16.M1216TS231_4,4,8,0.494,0.217,0.724,0.625,0.657,0.495,35.717,0.96463,0.93801,0.92469,0.45513,0.52723,0.56555,0.7292066666666666,0.5159699999999999,0.9424433333333333,0.027603961234434767,10313.0,17471745.27,30424510.99,-3.3651826134332543,862.033,681.5674999999999
368,CASP16.M1216TS231_5,4,8,0.481,0.21,0.708,0.632,0.651,0.476,35.814,0.96423,0.93983,0.92649,0.44876,0.51838,0.56002,0.726285,0.5090533333333332,0.9435166666666667,0.040453346426195774,10733.8,17344187.74,33077233.66,-3.885852225585869,33.487,753.7475
369,CASP16.M1216TS241_1,4,8,0.303,0.171,0.709,0.629,0.646,0.468,46.923,0.95947,0.92657,0.90683,0.41778,0.48023,0.53358,0.7040766666666667,0.4771966666666667,0.9309566666666665,0.03438874726614598,10614.3,17918838.75,30235323.78,-5.018107064222796,768.263,559.1111
370,CASP16.M1216TS241_2,4,8,0.393,0.169,0.717,0.616,0.622,0.483,38.322,0.96263,0.93455,0.91959,0.45051,0.51672,0.5616,0.7242666666666666,0.50961,0.9389233333333333,0.027560352151478985,10492.2,18249836.91,30646343.15,-3.7801699377109363,816.556,571.4305000000002
371,CASP16.M1216TS241_3,4,8,0.481,0.222,0.724,0.646,0.656,0.519,36.017,0.96552,0.94096,0.92866,0.45941,0.53213,0.57026,0.7328233333333334,0.5206,0.9450466666666667,0.041534729737519246,10690.9,18038987.91,31124444.1,-4.2433957425446955,885.884,582.9075
372,CASP16.M1216TS241_4,4,8,0.478,0.21,0.725,0.627,0.656,0.493,36.124,0.9638,0.9371,0.92333,0.4499,0.51715,0.56198,0.7255433333333333,0.5096766666666667,0.94141,0.03875624139603607,10539.1,18184500.0,31061052.53,-3.2431041821723765,805.407,584.6446
