,model,num_rna_chains,num_prot_chains,tm,oligo_gdtts,bb_lddt,ics,ips,ilddt,rmsd,CARP:bb_lddt,CARP:oligo_gdtts,CARP:oligo_gdtha,CARP:ilddt,CARP:ics,CARP:ips,CARP:Merged,CARP:Iface,CARP:Fold,CARP:RP,FTDMP,DARS-RNP,QUASI-RNP,DRPScore,ITScore-PR,3dRPC
420,CASP16.M1221TS028_1,2,1,0.665,0.344,0.572,0.175,0.387,0.153,23.303,0.74882,0.56903,0.51192,0.25984,0.21173,0.3507,0.44200666666666666,0.27409,0.6099233333333333,0.03171379435541559,868.433,3642405.15,5818606.37,-0.8026673065547406,260.755,120.03
421,CASP16.M1221TS028_2,2,1,0.657,0.332,0.57,0.155,0.345,0.145,24.401,0.75891,0.58059,0.52431,0.28365,0.23827,0.37728,0.4605016666666667,0.29973333333333335,0.6212700000000001,0.03285760069882144,908.276,3625480.8,6116718.13,-2.2784952929482962,202.489,104.871
422,CASP16.M1221TS028_3,2,1,0.591,0.281,0.571,0.159,0.401,0.149,23.753,0.74581,0.56541,0.50738,0.26488,0.21588,0.36189,0.4435416666666666,0.2808833333333333,0.6062,0.033586744076530055,1016.56,4156248.98,6781110.75,-3.0123818475847632,327.234,116.443
423,CASP16.M1221TS028_4,2,1,0.631,0.325,0.576,0.131,0.346,0.144,23.061,0.75742,0.57784,0.5201,0.25992,0.21704,0.35388,0.4477,0.2769466666666667,0.6184533333333333,0.03530698689143943,1033.02,4146284.09,6775635.53,-2.9433255364659825,317.401,119.939
424,CASP16.M1221TS028_5,2,1,0.648,0.329,0.578,0.178,0.434,0.174,23.916,0.75962,0.57874,0.51915,0.26412,0.23431,0.36134,0.45288,0.28659,0.61917,0.03152894674690358,944.882,3298067.24,5333066.8,-2.3746130831634846,307.637,104.488
425,CASP16.M1221TS033_1,2,1,0.801,0.401,0.576,0.338,0.419,0.234,6.864,0.75972,0.57814,0.52195,0.26363,0.23181,0.3411,0.4493916666666667,0.2788466666666667,0.6199366666666667,0.021273699065216076,605.38,2069173.64,3896886.14,-4.476797075544032,148.358,56.181
426,CASP16.M1221TS033_2,2,1,0.81,0.419,0.589,0.509,0.669,0.354,6.739,0.74678,0.56308,0.50358,0.26882,0.23211,0.3632,0.44626166666666667,0.2880433333333334,0.60448,0.053613564031775245,1183.11,4977914.76,8212020.66,-5.339363276914384,403.636,152.441
427,CASP16.M1221TS033_3,2,1,0.725,0.348,0.593,0.135,0.413,0.149,10.478,0.75511,0.55974,0.50586,0.27434,0.23714,0.36245,0.4491066666666666,0.29130999999999996,0.6069033333333332,0.02945049066475397,953.185,2547930.31,3799132.96,-3.507292179672637,272.119,68.8732
428,CASP16.M1221TS033_4,2,1,0.84,0.441,0.598,0.577,0.736,0.319,6.144,0.75384,0.56727,0.50971,0.26294,0.22336,0.35682,0.4456566666666667,0.28104,0.6102733333333333,0.04340720365560174,965.766,4468209.1,7709462.76,-5.88641215325617,344.636,136.05
429,CASP16.M1221TS033_5,2,1,0.721,0.363,0.581,0.215,0.336,0.175,12.161,0.75852,0.56565,0.51251,0.27542,0.24037,0.36622,0.45311500000000005,0.29400333333333334,0.6122266666666667,0.04462144272692967,893.032,3528532.84,5209808.97,-2.6626156547248105,242.86,124.544
430,CASP16.M1221TS110_1,2,1,0.672,0.345,0.585,0.212,0.426,0.179,23.058,0.75529,0.57323,0.51384,0.2652,0.22594,0.36179,0.44921500000000003,0.28431,0.6141200000000001,0.036031455396945945,1338.92,4302249.67,6860874.88,-0.2522205606610071,326.162,122.991
431,CASP16.M1221TS110_2,2,1,0.67,0.348,0.571,0.259,0.487,0.227,24.114,0.75354,0.57004,0.51097,0.25534,0.21334,0.34641,0.4416066666666667,0.27169666666666664,0.6115166666666667,0.029360003469492947,1274.81,3219200.84,5383109.57,-3.8886375837980207,281.078,115.243
432,CASP16.M1221TS110_3,2,1,0.659,0.345,0.574,0.178,0.448,0.182,22.495,0.75327,0.57266,0.51511,0.2816,0.23494,0.37064,0.45470333333333335,0.2957266666666667,0.61368,0.03739867985256477,1111.2,3639176.75,6256127.63,-1.9145519170307084,216.578,117.426
433,CASP16.M1221TS110_4,2,1,0.65,0.324,0.583,0.097,0.35,0.129,24.017,0.75145,0.56867,0.51169,0.25644,0.21709,0.35689,0.44370499999999996,0.27680666666666665,0.6106033333333333,0.03863672187180147,981.797,4073799.39,6554976.03,-1.325417717827536,318.653,123.438
434,CASP16.M1221TS110_5,2,1,0.678,0.358,0.569,0.135,0.353,0.139,23.87,0.75313,0.57076,0.5136,0.26954,0.21852,0.35286,0.4464016666666666,0.28030666666666665,0.6124966666666666,0.03103487980924242,1007.37,3190044.24,5470133.4,-1.996429801259497,299.266,107.794
435,CASP16.M1221TS143_1,2,1,0.598,0.34,0.321,0.203,0.472,0.034,24.94,0.75748,0.57106,0.51457,0.23097,0.1875,0.33797,0.4332583333333333,0.2521466666666667,0.61437,0.039215864051948296,1672.48,4522959.23,10284884.04,-4.102052128971868,104.374,237.589
436,CASP16.M1221TS143_2,2,1,0.439,0.238,0.323,0.0,0.203,0.013,35.274,0.74709,0.55911,0.50119,0.22734,0.174,0.32387,0.4221,0.24173666666666663,0.6024633333333334,0.025551442372813683,921.491,3932990.13,7219731.01,-3.3555831827822917,57.72,227.666
437,CASP16.M1221TS143_3,2,1,0.6,0.363,0.343,0.204,0.388,0.103,25.436,0.7594,0.56434,0.50976,0.24096,0.21672,0.33598,0.43786,0.26455333333333336,0.6111666666666666,0.036136077460832895,819.046,3544878.26,6718666.18,-5.613380380977193,221.215,121.802
438,CASP16.M1221TS143_4,2,1,0.618,0.362,0.299,0.176,0.43,0.07,24.654,0.74926,0.55658,0.50085,0.22618,0.17796,0.33127,0.4236833333333333,0.2451366666666667,0.6022299999999999,0.05231401221790293,2179.25,4842510.1,9980418.71,-7.68394405610481,76.67,260.918
439,CASP16.M1221TS159_2,2,1,0.61,0.3,0.574,0.272,0.393,0.187,21.377,0.74779,0.56998,0.5125,0.25957,0.22379,0.35598,0.44493499999999997,0.27978,0.6100899999999999,0.041180612822864754,1080.86,3052647.53,4385421.4,-5.461791707708191,265.662,105.335
440,CASP16.M1221TS159_3,2,1,0.801,0.401,0.576,0.338,0.419,0.234,6.864,0.75983,0.57867,0.52228,0.26393,0.23202,0.34135,0.44967999999999997,0.27909999999999996,0.62026,0.02124523400277667,605.388,2069173.64,3896886.14,-4.476797075544032,193.318,56.181
441,CASP16.M1221TS159_4,2,1,0.725,0.348,0.593,0.135,0.413,0.149,10.478,0.75506,0.55972,0.50584,0.27428,0.23707,0.36242,0.449065,0.2912566666666667,0.6068733333333333,0.029443435537051244,953.185,2547930.31,3799132.96,-3.507292179672637,257.775,68.8732
442,CASP16.M1221TS159_5,2,1,0.721,0.363,0.581,0.215,0.336,0.175,12.161,0.75802,0.56547,0.51217,0.27465,0.23937,0.36624,0.45265333333333335,0.29342,0.6118866666666667,0.044664882234701504,893.032,3528532.84,5209808.97,-2.6626156547248105,258.074,124.544
443,CASP16.M1221TS167_1,2,1,0.668,0.355,0.574,0.147,0.317,0.152,27.546,0.75789,0.5597,0.50391,0.27107,0.23522,0.35605,0.44730666666666663,0.28744666666666663,0.6071666666666666,0.0243543887184174,612.955,1798961.02,3326708.34,-3.100949940906483,94.503,67.1743
444,CASP16.M1221TS167_2,2,1,0.666,0.345,0.588,0.136,0.365,0.15,23.011,0.75041,0.57654,0.5139,0.27497,0.23187,0.36901,0.4527833333333333,0.29195,0.6136166666666667,0.03590407870631074,1072.03,4060948.31,6517941.03,-0.23404869771062312,329.988,126.779
445,CASP16.M1221TS167_3,2,1,0.685,0.369,0.566,0.182,0.437,0.167,27.251,0.7478,0.5602,0.5044,0.26462,0.22072,0.35421,0.44199166666666667,0.27985,0.6041333333333333,0.02243988850931231,719.442,2830330.68,4921903.41,-2.036595244768804,231.076,102.343
446,CASP16.M1221TS167_4,2,1,0.645,0.33,0.569,0.142,0.403,0.137,23.546,0.75616,0.57189,0.51399,0.25781,0.21688,0.35469,0.4452366666666667,0.27646,0.6140133333333334,0.038815212897742944,1077.19,4044026.88,6710548.42,-1.3326122437271244,322.73,134.022
447,CASP16.M1221TS167_5,2,1,0.255,0.162,0.241,0.0,0.22,0.009,43.389,0.72871,0.55122,0.49348,0.26835,0.20205,0.3786,0.4370683333333333,0.283,0.5911366666666666,0.039174347761604625,2011.63,5770313.76,9601522.12,-2.2471008053313364,118.723,194.846
448,CASP16.M1221TS208_1,2,1,0.649,0.343,0.578,0.165,0.305,0.126,30.722,0.75926,0.58304,0.52412,0.30967,0.26883,0.38779,0.4721183333333333,0.32209666666666664,0.62214,0.03206920652673944,588.783,1878495.63,3319962.73,-3.4924393662033277,187.187,67.7406
449,CASP16.M1221TS208_2,2,1,0.644,0.33,0.588,0.152,0.372,0.136,23.069,0.74549,0.56725,0.5076,0.26282,0.22367,0.35451,0.44355666666666665,0.2803333333333333,0.60678,0.0333018876913342,1039.6,3758861.06,6105704.13,-3.1619000314330177,301.846,119.955
450,CASP16.M1221TS208_3,2,1,0.655,0.34,0.578,0.147,0.395,0.137,23.302,0.75599,0.57559,0.5189,0.26267,0.22512,0.36703,0.45088333333333336,0.28493999999999997,0.6168266666666667,0.03174906652070249,847.222,2593943.79,4617508.38,-0.3961142896036752,249.497,85.3914
451,CASP16.M1221TS208_4,2,1,0.705,0.388,0.587,0.191,0.333,0.182,28.464,0.74781,0.56076,0.50202,0.27737,0.24259,0.36405,0.4491,0.29467,0.60353,0.020760340594735995,831.544,2503722.52,3978631.61,-1.8493669295012072,201.358,89.2073
452,CASP16.M1221TS208_5,2,1,0.668,0.348,0.569,0.119,0.341,0.133,22.823,0.75988,0.57276,0.51526,0.24854,0.20306,0.34509,0.44076499999999996,0.2655633333333333,0.6159666666666667,0.034569357650620525,977.59,3815679.26,6655651.59,-0.8303316565073858,312.286,120.071
453,CASP16.M1221TS231_1,2,1,0.675,0.355,0.557,0.109,0.399,0.121,23.599,0.74253,0.56325,0.50292,0.26446,0.21612,0.35603,0.44088499999999997,0.27887,0.6029,0.03542879943599235,958.898,3756477.61,6441751.9,-0.43200162773124595,284.669,128.664
454,CASP16.M1221TS231_2,2,1,0.665,0.34,0.581,0.133,0.351,0.129,24.235,0.7614,0.58588,0.52849,0.26419,0.23294,0.35564,0.4547566666666667,0.28425666666666666,0.6252566666666667,0.0317813794059001,1093.03,3462201.51,5600568.23,-1.4132625693172356,238.678,106.864
455,CASP16.M1221TS231_3,2,1,0.682,0.354,0.57,0.161,0.367,0.129,23.214,0.7477,0.56059,0.50288,0.27176,0.2347,0.35861,0.44604,0.28835666666666665,0.6037233333333333,0.029892893870288616,814.611,2491427.86,3948182.55,-2.4540767116689097,197.231,78.9929
456,CASP16.M1221TS231_4,2,1,0.688,0.37,0.586,0.253,0.468,0.207,30.094,0.75436,0.56436,0.51007,0.27327,0.23912,0.3766,0.4529633333333334,0.29633000000000004,0.6095966666666667,0.035588771811619326,909.978,2038490.49,3888409.71,-3.6243624698075054,126.817,68.1334
457,CASP16.M1221TS231_5,2,1,0.701,0.382,0.571,0.178,0.34,0.145,26.781,0.75628,0.56551,0.51459,0.2654,0.23068,0.36321,0.44927833333333334,0.28643,0.6121266666666667,0.029136662968039673,871.846,2530808.82,4245354.88,-5.09650282488697,135.104,91.4326
